time,x,y,z,max_error,qx,qy,qz,qw
1726685283,-0.3636155693558931,0.2757624165913165,-0.02206972040979477,0.0,-0.1186154529636065,-0.025755849599177715,0.9925588905783538,-0.009688099066927594
1726685284,-0.36382308329463653,0.27568965482590957,-0.02194242435385324,0.00025408777053649394,-0.11834254774513318,-0.025847362086498654,0.9925875645796803,-0.009842860770075122
1726685284,-0.3634701093900945,0.2759633729153402,-0.022144302211441702,0.00025904534535896523,-0.11860524295849835,-0.025714417726518043,0.9925635138278698,-0.009446485135424454
1726685284,-0.3636156976479902,0.27588575575081564,-0.021937230622484316,0.00018101411123551793,-0.11840570598430368,-0.025913591180434167,0.9925820922454925,-0.009453292339315049
1726685284,-0.36356939874379285,0.27590880073812735,-0.02207988599131039,0.00015382907042169302,-0.11830099376851233,-0.02539990855630386,0.9926079401612693,-0.009444397678825468
1726685284,-0.36356916865746575,0.275908525338252,-0.022077073160783334,0.00015347590590287266,-0.11830295087142276,-0.025404985213250773,0.9926075837347362,-0.009443688565222489
1726685284,-0.36356916865746575,0.275908525338252,-0.022077073160783334,0.00015347590590287266,-0.11830295087142276,-0.025404985213250773,0.9926075837347362,-0.009443688565222489
1726685284,-0.3636373582848738,0.2757614680099255,-0.022106306057957215,4.259303797860981e-05,-0.11843552499281387,-0.025691640237545894,0.9925822465620887,-0.009666946329529098
1726685284,-0.3635144939749235,0.27582016239695933,-0.02211980148127085,0.00012672381160492522,-0.11859293091742472,-0.02550813649899854,0.9925703939703907,-0.00943741077981553
1726685284,-0.36351915481520736,0.2759249923732029,-0.021981781435519654,0.0002084704096704759,-0.11849215303680753,-0.02577317594460096,0.9925767575897766,-0.009313074841124647
1726685284,-0.3635289593623463,0.2760443108223276,-0.022117473829631418,0.00029874075310478874,-0.11840983970308551,-0.02531727842062978,0.9925988898785438,-0.0092514370096893
1726685285,-0.36333132714662664,0.27602001522854513,-0.022346289691969057,0.0004729072417220304,-0.1187734225702461,-0.025480367948416443,0.9925523869348696,-0.00913149111898683
1726685285,-0.36336809123476876,0.276247208123138,-0.022219229529165663,0.0005644654343147623,-0.11858304573723454,-0.025707316434446816,0.9925678686617798,-0.009285539598315646
1726685285,-0.3637153112637411,0.2755596286097176,-0.022035594828877014,0.00022855189549659863,-0.11829903849684932,-0.025412536087880997,0.9926051966979094,-0.009719258644970322
1726685285,-0.363722312939071,0.2756530581345774,-0.02193919991723453,0.00020097030523978453,-0.11828374657235292,-0.025439800272837765,0.992607593344635,-0.009588404114200118
1726685285,-0.363722312939071,0.2756530581345774,-0.02193919991723453,0.00020097030523978453,-0.11828374657235292,-0.025439800272837765,0.992607593344635,-0.009588404114200118
1726685285,-0.36358484660027557,0.2755539781830772,-0.022132531838011338,0.00021985389070170613,-0.11841433624712558,-0.025405383805707275,0.9925933864523353,-0.009538375958323545
1726685285,-0.3636754891581619,0.27598663565820386,-0.021886699239834606,0.0002955694864382168,-0.11839491547123271,-0.026054281037456762,0.9925783726992499,-0.009591271025774046
1726685285,-0.3636754891581619,0.27598663565820386,-0.021886699239834606,0.0002955694864382168,-0.11839491547123271,-0.026054281037456762,0.9925783726992499,-0.009591271025774046
1726685285,-0.3634965045453842,0.27594750571474325,-0.022150190453175678,0.00023432848865243488,-0.11837799384048289,-0.025734295485920988,0.9925892684416674,-0.009536287777819837
1726685285,-0.36365990987972385,0.2760830856285271,-0.02186787486427172,0.0003814922512013404,-0.1184211876946844,-0.026214183575615356,0.9925705392679829,-0.009641756152794676
1726685286,-0.3635800740125672,0.27578582139953767,-0.02214547631453978,8.687152323649884e-05,-0.11862470618726233,-0.025785572420023117,0.9925579695362714,-0.009589600981880405
1726685286,-0.3633362153015613,0.2760644538786375,-0.022270452873662694,0.00045777585416263667,-0.11873189769563425,-0.02565380349317119,0.9925515095212943,-0.009280074510867011
1726685286,-0.3634500293797984,0.2760058427912435,-0.02217368842699574,0.0003122004918270303,-0.11864257799776065,-0.025592080121993356,0.9925637788293733,-0.009280575253162391
1726685286,-0.3634500293797984,0.2760058427912435,-0.02217368842699574,0.0003122004918270303,-0.11864257799776065,-0.025592080121993356,0.9925637788293733,-0.009280575253162391
1726685286,-0.3635425837316419,0.2758140496116328,-0.02221863500653609,0.0001736906078547606,-0.11850643445858527,-0.025608919443041646,0.9925776492184394,-0.009487808433426457
1726685286,-0.36357764441870155,0.2756510488243653,-0.022078388196066612,0.0001179669907030572,-0.11846833920822053,-0.0254369098652651,0.9925870766071192,-0.009439892705175496
1726685286,-0.36311530609902803,0.2758845037834817,-0.022262863792496423,0.0005499754312162391,-0.11730359417863809,-0.025442259494503197,0.9927241756840196,-0.00955349344853971
1726685286,-0.3580972176414574,0.2769320469343386,-0.023435552820306016,0.005803941674167347,-0.09870736522794991,-0.026050526530499295,0.9947117246955669,-0.011261033274554473
1726685286,-0.3411923549091584,0.2758995785659894,-0.024289671597867324,0.022533254154892365,-0.02988065451992588,-0.04916135500442167,0.9982091804161364,-0.01639328498304651
1726685286,-0.3176862960868361,0.2742523259047065,-0.021818828900264653,0.0459547762855512,0.05076297894214623,-0.09751212653362844,0.9937681633311957,-0.01842125666589999
1726685287,-0.2957487033487965,0.2768135178113559,-0.012164698052255063,0.06859391943389251,0.1070202462753333,-0.14532969882424815,0.9833745537849218,-0.02001080945704782
